BANKCode,KEIY_SEQ,CIF_NO,LOGIN_PWD,LOGIN_PWD_Date,User_PWD,CreateDate,Email,LOGIN_Date,BEF_LOGIN_Date1,BEF_LOGIN_Date2,BEF_LOGIN_Date3,MEDIA_TYPE,LOGIN_PAS_SEQ,HOST_PAS_CNT,SERV_PAS_CNT,LOGIN_REV_Date,HOST_REV_Date,SERV_REV_Date,ID_NIN_AYA_CNT,ID_LOCKOUT_CNT,ID_NIN_LO_DT,LOGIN_PWD_AYA_CNT,LOGIN_LOCKOUT_CNT,LOGIN_PWD_LO_DT,KAKU_PWD_AYA_CNT,KAKU_LOCKOUT_CNT,KAKU_PWD_LO_DT,KAKU_LOCKOUT_STS,SVC_STOP_CD,UKE_NO_YMD,UKE_NO_CNT,MAIL_NO_CNT,MSG_NO_CNT,STRT_YMD,STOP_YMD,TEIS_DT,TEIS_CMT,REN_TEL_STS,REN_TEL_STOP_DT,REN_TEL_STOP_ID,MAIL_STS,MAIL_STOP_DT,MAIL_STOP_ID
113,6,9999002,4BACA5C5A93960376ACDA41ED280AB62,27/02/2015 14:30,D69135B57A5A4B6D62C54228A6D1683A,06/01/2017 14:59,,0001/01/01,0001/01/01,0001/01/01,0001/01/01,0,0,0,0,0001/01/01,0001/01/01,0001/01/01,0,0,0001/01/01,3,0,0001/01/01,0,0,0001/01/01,0,0,10101,0,0,1,20140515,99991231,31/12/9999 23:59,,1,06/01/2017 14:59,        ,1,06/01/2017 14:59,        
113,138259,9223456,750767504CBBFBCAA5E916ADA80A52AC,16/12/2015 18:15,4BACA5C5A93960376ACDA41ED280AB62,14/03/2017 14:09,,0001/01/01,0001/01/01,0001/01/01,0001/01/01,,,0,0,,0001/01/01,0001/01/01,0,0,0001/01/01,0,0,0001/01/01,0,0,0001/01/01,0,0,10101,0,0,1,20140615,99991231,31/12/9999 23:59,,1,14/03/2017 14:09,        ,1,14/03/2017 14:09,        
113,138260,9223456,750767504CBBFBCAA5E916ADA80A52AC,16/12/2015 18:15,4BACA5C5A93960376ACDA41ED280AB62,29/08/2017 15:54,a@ezweb.ne.jp,29/08/2017 15:54,14/03/2017 20:11,0001/01/01,0001/01/01,,,0,0,,0001/01/01,0001/01/01,0,0,0001/01/01,0,0,0001/01/01,0,0,0001/01/01,0,0,10101,0,1,1,20140715,99991231,31/12/9999 23:59,,0,0001/01/01,        ,0,0001/01/01,        
113,138261,9223456,750767504CBBFBCAA5E916ADA80A52AC,16/12/2015 18:15,,,1rrrrr-rrr_rr.0000@docomo.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,20140815,,,,,,,0,10/01/2017 18:31,
113,144839,1234567890,D69135B57A5A4B6D62C54228A6D1683A,12/04/2016 17:44,,,2rrrrr-rrr_rr.0000@docomo.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,20140915,,,,,,,0,10/01/2017 18:31,
113,144840,1234567890,D69135B57A5A4B6D62C54228A6D1683A,12/04/2016 17:44,,,3rrrrr-rrr_rr.0000@docomo.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,20141015,,,,,,,0,10/01/2017 18:31,
113,144841,1234567890,D69135B57A5A4B6D62C54228A6D1683A,12/04/2016 17:44,,,4rrrrr-rrr_rr.0000@docomo.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,20141115,,,,,,,0,10/01/2017 18:31,
113,138258,,4BACA5C5A93960376ACDA41ED280AB62,02/03/2018 13:49,,,5rrrrr-rrr_rr.0000@docomo.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,20141215,,,,,,,0,10/01/2017 18:31,
113,138262,,4BACA5C5A93960376ACDA41ED280AB62,17/12/2015 11:27,,,6rrrrr-rrr_rr.0000@docomo.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,20150101,,,,,,,0,10/01/2017 18:31,
113,3,,D69135B57A5A4B6D62C54228A6D1683A,23/02/2015 20:56,,,7rrrrr-rrr_rr.0000@docomo.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,20150201,,,,,,,0,10/01/2017 18:31,
